23,2,Komitet Wyborczy Platforma Obywatelska RP,1,SKOWROŃSKA,Krystyna,SKOWROŃSKA,K,Mielec,administratywista,Platforma Obywatelska Rzeczypospolitej Polskiej,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,1,LIPIŃSKI,Adam Józef,LIPIŃSKI,M,Warszawa,ekonomista,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,2,WITEK,Elżbieta Barbara,WITEK,K,Jawor,nauczyciel,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,3,MACHAŁEK,Marzena Anna,MACHAŁEK,K,Jelenia Góra,parlamentarzysta,Prawo i Sprawiedliwość,,,,,,
24,13,Komitet Wyborczy Samoobrona,1,CHMIELEWSKI,Andrzej Eugeniusz,CHMIELEWSKI,M,Augustów,administratywista,„Samoobrona”,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,5,ZUBOWSKI,Wojciech Michał,ZUBOWSKI,M,Głogów,parlamentarzysta,Prawo i Sprawiedliwość,,,,,,11.57390534
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,6,LEWANDOWSKI,Tadeusz Stefan,LEWANDOWSKI,M,Jelenia Góra,technik mechanik,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,7,KULCZYCKI,Roman Marian,KULCZYCKI,M,Lwówek Śląski,przedstawiciel władzy samorządowej,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,8,POTYCZ,Stanisław Andrzej,POTYCZ,M,Legnica,radca prawny,nie należy do partii politycznej,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,9,STACHYRA,Jerzy Grzegorz,STACHYRA,M,Bogatynia,filolog angielski,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,10,KARWAN,Jacek,KARWAN,M,Gierałtowiec,inżynier ochrony środowiska,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,11,MARCINIAK,Wojciech,MARCINIAK,M,Sobin,nauczyciel,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,12,SZYMAŃSKA,Ewa Zofia,SZYMAŃSKA,K,Legnica,ekonomista,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,13,GĘBORYS,Dagmara Helena,GĘBORYS,K,Kamienna Góra,przedsiębiorca,nie należy do partii politycznej,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,14,BACZYŃSKI,Jacek Marcin,BACZYŃSKI,M,Legnica,ekonomista,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,15,OGRODNIK,Wiesław,OGRODNIK,M,Bolesławiec,inżynier mechanik,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,16,CIUPAK,Urszula,CIUPAK,K,Studniska Dolne,nauczyciel,nie należy do partii politycznej,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,17,STOCH,Włodzimierz Stefan,STOCH,M,Karpacz,inżynier chemik,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,18,GLUZA,Aneta Beata,GLUZA,K,Lubin,ekonomista,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,19,KWIATKOWSKA,Ewa,KWIATKOWSKA,K,Polkowice,pielęgniarka,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,20,SIWAK,Władysław,SIWAK,M,Dziesław,technik górnik,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,21,KUKUŁA,Eurydyka Maria,KUKUŁA,K,Olszyna,nauczyciel języka polskiego,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,22,PŁONEK,Danuta,PŁONEK,K,Ruszowice,nauczyciel,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,23,BUCIUTO,Jadwiga Barbara,BUCIUTO,K,Zgorzelec,nauczyciel,Prawo i Sprawiedliwość,,,,,,
1,1,Komitet Wyborczy Prawo i Sprawiedliwość,24,ZEMBIK,Wojciech Bolesław,ZEMBIK,M,Lubań,inżynier elektronik,Prawo i Sprawiedliwość,,,,,,
1,2,Komitet Wyborczy Platforma Obywatelska RP,1,HUSKOWSKI,Stanisław Tadeusz,HUSKOWSKI,M,Wrocław,parlamentarzysta,Platforma Obywatelska Rzeczypospolitej Polskiej,,,,,,
1,2,Komitet Wyborczy Platforma Obywatelska RP,2,DROZD,Ewa,DROZD,K,Głogów,nauczyciel,Platforma Obywatelska Rzeczypospolitej Polskiej,,,,,,
1,2,Komitet Wyborczy Platforma Obywatelska RP,3,MIEDZIŃSKI,Piotr Jan,MIEDZIŃSKI,M,Jelenia Góra,pracownik administracji samorządowej,Platforma Obywatelska Rzeczypospolitej Polskiej,,,,,,
1,2,Komitet Wyborczy Platforma Obywatelska RP,4,KRAWCZYK,Iwona Małgorzata,KRAWCZYK,K,Czadrów,menedżer,Platforma Obywatelska Rzeczypospolitej Polskiej,,,,,,
